Date,Price,Open,High,Low,Change %
2017-10-13,1.3291,1.3264,1.3337,1.3249,0.22%
2017-10-12,1.3262,1.3224,1.3292,1.3121,0.29%
2017-10-11,1.3223,1.3205,1.3236,1.3175,0.14%
2017-10-10,1.3204,1.3141,1.3227,1.3131,0.47%
2017-10-09,1.3142,1.3069,1.3185,1.3056,0.58%
2017-10-06,1.3066,1.3119,1.3127,1.3027,-0.40%
2017-10-05,1.3119,1.3247,1.3251,1.3107,-0.95%
2017-10-04,1.3245,1.3236,1.3293,1.3235,0.07%
2017-10-03,1.3236,1.3276,1.3289,1.3222,-0.31%
2017-10-02,1.3277,1.3389,1.3404,1.3255,-0.90%
2017-09-29,1.3397,1.3441,1.3446,1.3349,-0.33%
2017-09-28,1.3442,1.3386,1.3458,1.3343,0.41%
2017-09-27,1.3387,1.3459,1.3464,1.3364,-0.53%
2017-09-26,1.3458,1.3467,1.3517,1.3410,-0.07%
2017-09-25,1.3467,1.3493,1.3572,1.3431,-0.19%
2017-09-22,1.3493,1.3581,1.3597,1.3450,-0.63%
2017-09-21,1.3579,1.3493,1.3587,1.3470,0.63%
2017-09-20,1.3494,1.3510,1.3658,1.3452,-0.11%
2017-09-19,1.3509,1.3495,1.3553,1.3469,0.11%
2017-09-18,1.3494,1.3576,1.3620,1.3465,-0.73%
2017-09-15,1.3593,1.3398,1.3617,1.3381,1.46%
2017-09-14,1.3397,1.3211,1.3407,1.3162,1.41%
2017-09-13,1.3211,1.3284,1.3330,1.3185,-0.55%
2017-09-12,1.3284,1.3163,1.3300,1.3160,0.92%
2017-09-11,1.3163,1.3203,1.3223,1.3159,-0.27%
2017-09-08,1.3198,1.3100,1.3225,1.3093,0.74%
2017-09-07,1.3101,1.3043,1.3117,1.3032,0.44%
2017-09-06,1.3043,1.3032,1.3084,1.3018,0.08%
2017-09-05,1.3033,1.2927,1.3044,1.2909,0.78%
2017-09-04,1.2932,1.2958,1.2967,1.2911,-0.15%
2017-09-01,1.2951,1.2931,1.2996,1.2904,0.15%
2017-08-31,1.2931,1.2928,1.2935,1.2851,0.04%
2017-08-30,1.2926,1.2918,1.2939,1.2877,0.05%
2017-08-29,1.2920,1.2931,1.2979,1.2914,-0.10%
2017-08-28,1.2933,1.2902,1.2948,1.2873,0.36%
2017-08-25,1.2887,1.2799,1.2891,1.2793,0.68%
2017-08-24,1.2800,1.2796,1.2837,1.2771,0.00%
2017-08-23,1.2800,1.2824,1.2835,1.2779,-0.19%
2017-08-22,1.2824,1.2897,1.2910,1.2809,-0.60%
2017-08-21,1.2901,1.2870,1.2918,1.2849,0.19%
2017-08-18,1.2876,1.2869,1.2920,1.2834,0.05%
2017-08-17,1.2869,1.2894,1.2914,1.2855,-0.16%
2017-08-16,1.2890,1.2870,1.2905,1.2842,0.16%
2017-08-15,1.2870,1.2964,1.2971,1.2845,-0.73%
2017-08-14,1.2965,1.2992,1.3024,1.2955,-0.36%
2017-08-11,1.3012,1.2975,1.3031,1.2937,0.29%
2017-08-10,1.2975,1.2999,1.3017,1.2950,-0.23%
2017-08-09,1.3005,1.2988,1.3029,1.2965,0.11%
2017-08-08,1.2991,1.3033,1.3055,1.2950,-0.34%
2017-08-07,1.3035,1.3025,1.3063,1.3011,-0.01%
2017-08-04,1.3036,1.3134,1.3166,1.3021,-0.78%
2017-08-03,1.3139,1.3219,1.3266,1.3110,-0.64%
2017-08-02,1.3223,1.3201,1.3252,1.3187,0.15%
2017-08-01,1.3203,1.3212,1.3249,1.3188,-0.08%
2017-07-31,1.3214,1.3129,1.3225,1.3094,0.60%
2017-07-28,1.3135,1.3063,1.3155,1.3056,0.52%
2017-07-27,1.3067,1.3119,1.3157,1.3051,-0.41%
2017-07-26,1.3121,1.3019,1.3125,1.2999,0.73%
2017-07-25,1.3026,1.3027,1.3086,1.3004,-0.02%
2017-07-24,1.3029,1.2983,1.3058,1.2983,0.26%
2017-07-21,1.2995,1.2972,1.3023,1.2951,0.16%
2017-07-20,1.2974,1.3020,1.3038,1.2930,-0.34%
2017-07-19,1.3018,1.3036,1.3053,1.3008,-0.17%
2017-07-18,1.3040,1.3055,1.3127,1.3002,-0.11%
2017-07-17,1.3055,1.3099,1.3113,1.3044,-0.31%
2017-07-14,1.3096,1.2934,1.3115,1.2931,1.21%
2017-07-13,1.2939,1.2882,1.2958,1.2875,0.42%
2017-07-12,1.2885,1.2845,1.2908,1.2808,0.28%
2017-07-11,1.2849,1.2880,1.2932,1.2828,-0.23%
2017-07-10,1.2879,1.2882,1.2912,1.2853,-0.10%
2017-07-07,1.2892,1.2966,1.2977,1.2864,-0.61%
2017-07-06,1.2971,1.2934,1.2984,1.2917,0.28%
2017-07-05,1.2935,1.2916,1.2950,1.2890,0.12%
2017-07-04,1.2920,1.2936,1.2962,1.2909,-0.13%
2017-07-03,1.2937,1.3010,1.3024,1.2929,-0.69%
2017-06-30,1.3027,1.3003,1.3032,1.2946,0.16%
2017-06-29,1.3006,1.2921,1.3013,1.2917,0.62%
2017-06-28,1.2926,1.2815,1.2974,1.2790,0.86%
2017-06-27,1.2816,1.2721,1.2860,1.2714,0.75%
2017-06-26,1.2721,1.2728,1.2760,1.2703,0.02%
