Date,Price,Open,High,Low,Vol. Change %
2017-10-13,1304.25,1296.42,1305.01,1293.63,- 0.60%
2017-10-12,1296.50,1294.60,1299.80,1291.80,- 0.59%
2017-10-11,1288.90,1290.70,1295.90,1286.80,261.36K -0.38%
2017-10-10,1293.80,1286.80,1296.70,1284.60,316.58K 0.68%
2017-10-09,1285.00,1278.60,1288.00,1277.70,200.99K 0.79%
2017-10-06,1274.90,1270.60,1279.20,1262.80,373.75K 0.13%
2017-10-05,1273.20,1277.50,1281.60,1268.50,221.52K -0.28%
2017-10-04,1276.80,1274.50,1285.00,1273.10,273.12K 0.17%
2017-10-03,1274.60,1273.10,1277.40,1271.00,207.42K -0.09%
2017-10-02,1275.80,1282.20,1282.80,1272.00,272.71K -0.70%
2017-09-29,1284.80,1290.10,1293.20,1278.20,287.45K -0.30%
2017-09-28,1288.70,1285.10,1291.60,1280.40,288.51K 0.07%
2017-09-27,1287.80,1297.30,1299.20,1284.10,374.77K -1.07%
2017-09-26,1301.70,1314.20,1317.10,1295.00,385.65K -0.75%
2017-09-25,1311.50,1301.50,1315.80,1291.70,362.67K 1.08%
2017-09-22,1297.50,1294.10,1301.90,1294.10,264.47K 0.21%
2017-09-21,1294.80,1304.80,1305.00,1291.20,402.21K -1.64%
2017-09-20,1316.40,1314.70,1319.80,1299.50,351.42K 0.44%
2017-09-19,1310.60,1310.50,1315.30,1308.70,275.31K -0.02%
2017-09-18,1310.80,1324.00,1324.00,1308.10,271.33K -1.09%
2017-09-15,1325.20,1333.70,1338.20,1323.00,320.51K -0.31%
2017-09-14,1329.30,1327.60,1334.90,1319.50,336.58K 0.10%
2017-09-13,1328.00,1336.20,1340.50,1324.50,306.37K -0.35%
2017-09-12,1332.70,1331.70,1336.30,1326.70,287.75K -0.22%
2017-09-11,1335.70,1341.50,1344.60,1330.60,303.11K -1.15%
2017-09-08,1351.20,1354.00,1362.40,1347.10,386.65K 0.07%
2017-09-07,1350.30,1339.00,1355.50,1337.20,363.78K 0.84%
2017-09-06,1339.00,1345.00,1347.70,1336.40,309.35K -0.41%
2017-09-05,1344.50,1339.70,1349.70,1331.10,557.99K 0.48%
2017-09-04,1338.08,1341.21,1344.59,1337.01,- -0.23%
2017-09-03,1341.22,1340.54,1342.07,1338.96,- 0.81%
2017-09-01,1330.40,1326.90,1334.50,1321.40,368.17K 0.62%
2017-08-31,1322.20,1314.10,1329.00,1302.30,376.31K 0.62%
2017-08-30,1314.10,1314.80,1319.30,1310.10,312.01K -0.36%
2017-08-29,1318.90,1320.50,1331.90,1310.60,460.45K 0.27%
2017-08-28,1315.30,1297.60,1317.80,1297.00,321.81K 1.34%
2017-08-25,1297.90,1291.30,1301.40,1281.30,358.61K 0.46%
2017-08-24,1292.00,1296.00,1296.80,1289.30,246.72K -0.21%
2017-08-23,1294.70,1290.40,1297.00,1287.90,235.69K 0.29%
2017-08-22,1291.00,1297.10,1298.10,1287.00,268.99K -0.44%
2017-08-21,1296.70,1289.10,1299.70,1286.20,261.48K 0.39%
2017-08-18,1291.60,1293.80,1306.90,1289.10,396.54K -0.06%
2017-08-17,1292.40,1290.00,1296.00,1286.40,329.84K 0.74%
2017-08-16,1282.90,1276.90,1289.50,1273.20,273.20K 0.25%
2017-08-15,1279.70,1287.00,1287.70,1272.70,287.56K -0.83%
2017-08-14,1290.40,1296.40,1296.40,1284.20,238.07K -0.28%
2017-08-11,1294.00,1292.50,1298.10,1286.70,265.33K 0.30%
2017-08-10,1290.10,1283.20,1293.80,1280.30,269.83K 0.84%
2017-08-09,1279.30,1266.10,1284.70,1265.90,290.97K 1.32%
2017-08-08,1262.60,1262.90,1271.00,1257.10,247.54K -0.17%
2017-08-07,1264.70,1264.30,1265.60,1261.30,123.21K 0.01%
2017-08-04,1264.60,1275.30,1276.50,1259.80,270.85K -0.77%
2017-08-03,1274.40,1272.60,1277.00,1262.90,207.02K -0.31%
2017-08-02,1278.40,1275.20,1279.00,1268.90,210.98K -0.08%
2017-08-01,1279.40,1275.60,1280.30,1268.40,213.54K 0.47%
2017-07-31,1273.40,1276.30,1277.30,1271.70,165.13K -0.15%
2017-07-28,1275.30,1265.00,1277.00,1263.20,250.89K 0.69%
2017-07-27,1266.50,1266.80,1271.30,1260.30,161.44K 0.87%
2017-07-26,1255.60,1256.20,1269.80,1249.40,95.79K -0.23%
2017-07-25,1258.50,1261.90,1264.20,1255.10,62.31K 0.33%
2017-07-24,1254.30,1255.50,1259.00,1252.00,212.88K -0.05%
2017-07-21,1254.90,1244.10,1255.90,1242.80,240.53K 0.75%
2017-07-20,1245.50,1240.60,1247.20,1234.60,269.02K 0.28%
2017-07-19,1242.00,1242.00,1243.50,1235.10,198.03K 0.01%
2017-07-18,1241.90,1233.30,1244.10,1232.20,253.19K 0.66%
2017-07-17,1233.70,1228.70,1235.40,1227.50,174.90K 0.51%
2017-07-14,1227.50,1216.40,1232.70,1214.00,267.44K 0.84%
2017-07-13,1217.30,1219.20,1223.60,1215.60,227.82K -0.15%
2017-07-12,1219.10,1216.50,1225.20,1212.50,262.77K 0.36%
2017-07-11,1214.70,1213.80,1217.10,1207.40,217.24K 0.12%
2017-07-10,1213.20,1212.10,1215.00,1204.00,238.26K 0.29%
2017-07-07,1209.70,1224.60,1228.10,1206.60,322.18K -1.11%
2017-07-06,1223.30,1226.50,1229.50,1221.80,192.21K 0.13%
2017-07-05,1221.70,1220.10,1228.40,1216.50,366.77K -0.48%
2017-07-04,1227.55,1224.30,1228.03,1221.49,- 0.68%
2017-07-03,1219.20,1241.70,1242.60,1218.00,284.45K -1.86%
2017-06-30,1242.30,1245.20,1248.20,1239.00,222.76K -0.28%
2017-06-29,1245.80,1249.60,1253.20,1239.70,277.75K -0.26%
2017-06-28,1249.10,1247.30,1255.70,1246.70,195.07K 0.18%
2017-06-27,1246.90,1245.20,1253.80,1241.80,213.42K 0.04%
2017-06-26,1246.40,1258.10,1259.00,1236.50,227.47K -0.80%
2017-06-23,1256.40,1250.90,1260.00,1250.60,162.67K 0.56%
2017-06-22,1249.40,1246.40,1256.00,1246.40,187.39K 0.29%
2017-06-21,1245.80,1243.90,1248.80,1241.70,170.46K 0.18%
2017-06-20,1243.50,1245.40,1249.40,1242.40,185.39K -0.26%
2017-06-19,1246.70,1255.80,1257.30,1244.30,179.65K -0.78%
2017-06-16,1256.50,1255.60,1258.60,1253.20,149.11K 0.15%
2017-06-15,1254.60,1262.70,1268.50,1252.70,255.15K -1.67%
2017-06-14,1275.90,1268.40,1284.20,1259.00,348.34K 0.58%
2017-06-13,1268.60,1267.70,1271.00,1260.50,175.60K -0.02%
2017-06-12,1268.90,1269.70,1272.40,1265.60,173.01K -0.20%
2017-06-09,1271.40,1283.50,1284.60,1266.70,219.21K -0.63%
2017-06-08,1279.50,1289.50,1291.50,1273.50,257.44K -1.06%
2017-06-07,1293.20,1297.00,1297.60,1285.00,218.85K -0.33%
2017-06-06,1297.50,1282.50,1298.80,1282.10,257.79K 1.15%
2017-06-05,1282.70,1282.60,1286.00,1280.20,139.80K 0.20%
2017-06-02,1280.20,1268.00,1282.20,1261.30,272.29K 0.80%
2017-06-01,1270.10,1271.60,1272.80,1263.70,181.20K -0.42%
2017-05-31,1275.40,1265.70,1276.80,1262.00,204.29K 0.77%
2017-05-30,1265.70,1271.20,1273.40,1261.80,286.21K -0.08%
2017-05-29,1266.69,1268.02,1268.60,1264.96,- -0.12%
2017-05-28,1268.22,1266.31,1269.02,1266.31,- -0.25%
2017-05-26,1271.40,1258.60,1272.70,1256.20,159.00K 0.92%
2017-05-25,1259.80,1261.60,1262.80,1256.90,63.17K 0.26%
2017-05-24,1256.50,1253.80,1262.20,1250.90,48.74K -0.19%
2017-05-23,1258.90,1263.20,1267.10,1254.00,54.13K -0.47%
2017-05-22,1264.80,1260.00,1265.80,1254.80,45.56K 0.89%
2017-05-19,1253.60,1246.80,1256.40,1246.10,212.92K 0.06%
2017-05-18,1252.80,1261.40,1265.00,1245.70,368.90K -0.47%
2017-05-17,1258.70,1237.20,1261.50,1236.30,377.87K 1.80%
2017-05-16,1236.40,1230.80,1239.10,1230.00,204.21K 0.52%
2017-05-15,1230.00,1228.30,1237.40,1226.80,189.23K 0.19%
2017-05-12,1227.70,1225.00,1231.60,1224.40,199.88K 0.29%
2017-05-11,1224.20,1219.20,1227.70,1216.90,237.71K 0.43%
2017-05-10,1218.90,1222.10,1225.80,1217.50,194.72K 0.23%
2017-05-09,1216.10,1226.60,1228.70,1214.30,254.02K -0.90%
2017-05-08,1227.10,1223.10,1236.90,1221.00,201.06K 0.02%
